# CASE 別の仮想 EXIT 比較（§15）。最も成績のよい CASE を採用する、という使い方はしない。gave_back_most は「+10%以上まで上昇し、最終リターンが最大含み益の半分未満」という集計上の定義。
code,name,signal_date,path_label,case,case_label,exit_type,exit_date,exit_day_offset,exit_reference_price,gap_through,approximate_return_pct,holding_days,still_open,order_ambiguous,max_gain_pct,max_gain_date,max_loss_pct,giveback_pct,rose5_then_lost,gave_back_most
1802,大林組,2026-02-19,P2_WARNING_LOW_BREAK,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2026-03-09,10,3738.3980,true,-8.4664,11,false,false,7.3778,2026-02-27,-9.9419,15.8442,true,false
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,P2_WARNING_LOW_BREAK,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-03-04,7,3070.8395,true,-4.5483,8,false,false,7.7661,2026-02-26,-7.3639,12.3144,true,false
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,P2_WARNING_LOW_BREAK,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-02-27,4,3284.8525,true,2.1040,5,false,false,7.7661,2026-02-26,-1.7636,5.6621,false,false
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,P2_WARNING_LOW_BREAK,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2026-03-04,7,3070.8395,true,-4.5483,8,false,false,7.7661,2026-02-26,-7.3639,12.3144,true,false
6594,ニデック,2026-02-19,P2_WARNING_LOW_BREAK,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-03-03,6,2279.5450,false,-2.3749,7,false,false,6.6381,2026-02-27,-3.4690,9.0131,true,false
6594,ニデック,2026-02-19,P2_WARNING_LOW_BREAK,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-03-03,6,2292.0000,false,-1.8415,7,false,false,6.6381,2026-02-27,-3.4690,8.4797,true,false
6594,ニデック,2026-02-19,P2_WARNING_LOW_BREAK,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2026-03-03,6,2279.5450,false,-2.3749,7,false,false,6.6381,2026-02-27,-3.4690,9.0131,true,false
8058,三菱商事,2026-02-19,P3_REHIGH_ONCE,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-03-09,10,4754.1825,true,-3.5564,11,false,false,12.0956,2026-03-03,-4.9427,15.6520,true,true
8058,三菱商事,2026-02-19,P3_REHIGH_ONCE,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-02-27,4,5089.9467,true,3.2550,5,false,false,7.1529,2026-02-27,-0.6430,3.8979,false,false
8058,三菱商事,2026-02-19,P3_REHIGH_ONCE,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,TRAIL_STOP_EXIT,2026-03-04,7,5024.5767,true,1.9289,8,false,false,12.0956,2026-03-03,-1.0649,10.1668,false,true
7203,トヨタ,2026-02-25,P2_WARNING_LOW_BREAK,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-03-04,4,3534.3490,false,-5.1065,5,false,false,4.6825,2026-03-02,-7.4868,9.7890,false,false
7203,トヨタ,2026-02-25,P2_WARNING_LOW_BREAK,CASE2_WARNING_EXIT,CASE2 warning_low 下抜けで利確,WARNING_LOW_EXIT_CANDIDATE,2026-03-04,4,3606.3027,true,-3.1746,5,false,false,4.6825,2026-03-02,-7.4868,7.8571,false,false
7203,トヨタ,2026-02-25,P2_WARNING_LOW_BREAK,CASE3_TRAILING,CASE3 トレーリング（warning_low では降りない）,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2026-03-04,4,3534.3490,false,-5.1065,5,false,false,4.6825,2026-03-02,-7.4868,9.7890,false,false
7012,川崎重工,2026-02-26,P3_REHIGH_ONCE,CASE1_INITIAL_STOP_ONLY,CASE1 初期STOPのみ（前回と同じ）,INITIAL_STOP_EXIT,2026-03-04,3,3310.2136,false,-5.5765,4,false,false,6.7460,2026-03-03,-12.7834,12.3226,true,false
