# 各営業日の状態と、その日の寄り時点で有効だった active_stop（§11）。 引き上げた STOP を当日の安値へ遡って適用していないことがここで確認できる。
code,signal_date,day_offset,date,state,open,high,low,close,volume,active_stop,holding_high,reference_high,warning_low,unrealized_pct
8015,2026-02-18,1,2026-02-20,INITIAL_HOLD,6672.5022,6724.9714,6614.0930,6667.5522,1700200,6383.0303,6846.7397,,,-1.0723
8015,2026-02-18,2,2026-02-24,INITIAL_HOLD,6927.9181,6927.9181,6664.5819,6899.2085,2088300,6383.0303,6846.7397,,,2.3649
8015,2026-02-18,3,2026-02-25,INITIAL_HOLD,6926.9284,7093.2460,6784.3705,7022.9570,2172800,6383.0303,6927.9181,,,4.2009
8015,2026-02-18,4,2026-02-26,TREND_HOLD,7157.5949,7171.4547,6930.8883,6946.7280,2175700,6383.0303,7093.2460,,,3.0699
8015,2026-02-18,5,2026-02-27,WARNING,6945.7381,6946.7281,6840.7997,6918.0186,3394700,6383.0303,7171.4547,7171.4547,6930.8883,2.6439
8015,2026-02-18,6,2026-03-02,WARNING,6677.4519,6915.0484,6623.9927,6878.4189,3184500,6383.0303,7171.4547,7171.4547,6930.8883,2.0564
8015,2026-02-18,7,2026-03-03,WARNING,6977.4176,7063.5464,6742.7911,6754.6709,3289800,6383.0303,7171.4547,7171.4547,6930.8883,0.2203
8015,2026-02-18,8,2026-03-04,WARNING,6367.5865,6493.3147,6237.8984,6290.3677,3386800,6383.0303,7171.4547,7171.4547,6930.8883,-6.6686
8306,2026-02-18,0,2026-02-19,INITIAL_HOLD,2905.3790,2952.4773,2899.4917,2952.4773,34207100,2808.3540,2905.3790,,,1.6211
8306,2026-02-18,1,2026-02-20,TREND_HOLD,2923.5314,2924.0220,2871.0364,2886.7358,35869200,2808.3540,2952.4773,,,-0.6417
8306,2026-02-18,2,2026-02-24,WARNING,2852.8839,2857.7900,2826.8817,2833.7502,40737100,2808.3540,2952.4773,2952.4773,2871.0364,-2.4654
8306,2026-02-18,3,2026-02-25,WARNING,2833.7503,2834.7315,2756.2343,2777.8210,51226600,2808.3540,2952.4773,2952.4773,2871.0364,-4.3904
8316,2026-02-18,0,2026-02-19,INITIAL_HOLD,5887.9766,6036.7026,5875.1723,6036.7026,14435700,5601.7723,5887.9766,,,2.5259
8316,2026-02-18,1,2026-02-20,TREND_HOLD,5953.9678,5956.9226,5849.5641,5873.2026,12452200,5601.7723,6036.7026,,,-0.2509
8316,2026-02-18,2,2026-02-24,WARNING,5791.4524,5801.3018,5698.8679,5720.5366,14246200,5601.7723,6036.7026,6036.7026,5849.5641,-2.8438
8316,2026-02-18,3,2026-02-25,WARNING,5702.8078,5711.6723,5558.0215,5613.1782,15830900,5601.7723,6036.7026,6036.7026,5849.5641,-4.6671
1802,2026-02-19,0,2026-02-20,INITIAL_HOLD,4084.1801,4119.7463,4046.6381,4102.9512,2962800,3882.8853,4084.1801,,,0.4596
