# 状態遷移の時系列。case 列が CASE2 のものは CASE2 だけに効くイベント（CASE3 は warning_low で降りない）。
code,name,signal_date,day_offset,date,state_before,state_after,kind,price,case,detail
8015,豊田通商,2026-02-18,5,2026-02-27,WARNING,WARNING,WARNING_CANDLE_NOT_REPLACED,6840.7997,ALL,WARNING 中の追加陰線 安値 6840.8。警戒足は 2026-02-26 のまま置き換えない（§9）
8015,豊田通商,2026-02-18,7,2026-03-03,WARNING,WARNING,WARNING_CANDLE_NOT_REPLACED,6742.7911,ALL,WARNING 中の追加陰線 安値 6742.8。警戒足は 2026-02-26 のまま置き換えない（§9）
8015,豊田通商,2026-02-18,8,2026-03-04,WARNING,CLOSED,INITIAL_STOP_EXIT_AFTER_BREAKOUT,6367.5865,ALL,WARNING 中に active_stop 6383.0 へ到達（安値 6237.9）
8306,三菱UFJ,2026-02-18,0,2026-02-19,INITIAL_HOLD,INITIAL_HOLD,ENTRY,2905.3790,ALL,翌営業日始値 2905.4 で仮想ENTRY（ギャップ +0.32%） / 初期STOP 2808.4 / 元レンジ上限 2944.6
8306,三菱UFJ,2026-02-18,0,2026-02-19,INITIAL_HOLD,TREND_HOLD,RANGE_UPPER_CLOSE_BREAK,2952.4773,ALL,終値 2952.5 > 元レンジ上限 2944.6 → TREND_HOLD へ。警戒足の判定は翌営業日から開始（解釈(a)）
8306,三菱UFJ,2026-02-18,1,2026-02-20,TREND_HOLD,WARNING,WARNING_CANDLE,2871.0364,ALL,上限突破後の最初の陰線 O2923.5 C2886.7 / warning_low 2871.0 / reference_high 2952.5（2026-02-19の保有中最高値） / 含み益 -0.64%
8306,三菱UFJ,2026-02-18,2,2026-02-24,WARNING,WARNING,WARNING_LOW_BREAK,2871.0364,CASE2_WARNING_EXIT,warning_low 2871.0 を下抜け（安値 2826.9）→ 利確候補。CASE2 はここで仮想EXIT、CASE3 は保有を続ける
8306,三菱UFJ,2026-02-18,2,2026-02-24,WARNING,WARNING,GAP_THROUGH_WARNING_LOW,2852.8839,CASE2_WARNING_EXIT,寄り 2852.9 が warning_low 2871.0 を下回っており、warning_low での約定は仮定できない
8306,三菱UFJ,2026-02-18,2,2026-02-24,WARNING,WARNING,WARNING_CANDLE_NOT_REPLACED,2826.8817,ALL,WARNING 中の追加陰線 安値 2826.9。警戒足は 2026-02-20 のまま置き換えない（§9）
8306,三菱UFJ,2026-02-18,3,2026-02-25,WARNING,CLOSED,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2808.3540,ALL,WARNING 中に active_stop 2808.4 へ到達（安値 2756.2）
8316,三井住友FG,2026-02-18,0,2026-02-19,INITIAL_HOLD,INITIAL_HOLD,ENTRY,5887.9766,ALL,翌営業日始値 5888.0 で仮想ENTRY（ギャップ +1.70%） / 初期STOP 5601.8 / 元レンジ上限 5928.4
8316,三井住友FG,2026-02-18,0,2026-02-19,INITIAL_HOLD,TREND_HOLD,RANGE_UPPER_CLOSE_BREAK,6036.7026,ALL,終値 6036.7 > 元レンジ上限 5928.4 → TREND_HOLD へ。警戒足の判定は翌営業日から開始（解釈(a)）
8316,三井住友FG,2026-02-18,1,2026-02-20,TREND_HOLD,WARNING,WARNING_CANDLE,5849.5641,ALL,上限突破後の最初の陰線 O5954.0 C5873.2 / warning_low 5849.6 / reference_high 6036.7（2026-02-19の保有中最高値） / 含み益 -0.25%
8316,三井住友FG,2026-02-18,2,2026-02-24,WARNING,WARNING,WARNING_LOW_BREAK,5849.5641,CASE2_WARNING_EXIT,warning_low 5849.6 を下抜け（安値 5698.9）→ 利確候補。CASE2 はここで仮想EXIT、CASE3 は保有を続ける
8316,三井住友FG,2026-02-18,2,2026-02-24,WARNING,WARNING,GAP_THROUGH_WARNING_LOW,5791.4524,CASE2_WARNING_EXIT,寄り 5791.5 が warning_low 5849.6 を下回っており、warning_low での約定は仮定できない
8316,三井住友FG,2026-02-18,2,2026-02-24,WARNING,WARNING,WARNING_CANDLE_NOT_REPLACED,5698.8679,ALL,WARNING 中の追加陰線 安値 5698.9。警戒足は 2026-02-20 のまま置き換えない（§9）
8316,三井住友FG,2026-02-18,3,2026-02-25,WARNING,CLOSED,INITIAL_STOP_EXIT_AFTER_BREAKOUT,5601.7723,ALL,WARNING 中に active_stop 5601.8 へ到達（安値 5558.0）
1802,大林組,2026-02-19,0,2026-02-20,INITIAL_HOLD,INITIAL_HOLD,ENTRY,4084.1801,ALL,翌営業日始値 4084.2 で仮想ENTRY（ギャップ +0.98%） / 初期STOP 3882.9 / 元レンジ上限 4139.5
1802,大林組,2026-02-19,1,2026-02-24,INITIAL_HOLD,INITIAL_HOLD,RANGE_UPPER_HIGH_ONLY,4153.3366,ALL,高値 4153.3 は上限超だが終値 4130.6 は上限以下 → 状態遷移させない（§3）
1802,大林組,2026-02-19,2,2026-02-25,INITIAL_HOLD,TREND_HOLD,RANGE_UPPER_CLOSE_BREAK,4184.9507,ALL,終値 4185.0 > 元レンジ上限 4139.5 → TREND_HOLD へ。警戒足の判定は翌営業日から開始（解釈(a)）
1802,大林組,2026-02-19,6,2026-03-03,TREND_HOLD,WARNING,WARNING_CANDLE,4079.2402,ALL,上限突破後の最初の陰線 O4221.5 C4098.0 / warning_low 4079.2 / reference_high 4385.5（2026-02-27の保有中最高値） / 含み益 +0.34%
1802,大林組,2026-02-19,7,2026-03-04,WARNING,WARNING,WARNING_LOW_BREAK,4079.2402,CASE2_WARNING_EXIT,warning_low 4079.2 を下抜け（安値 3891.5）→ 利確候補。CASE2 はここで仮想EXIT、CASE3 は保有を続ける
1802,大林組,2026-02-19,7,2026-03-04,WARNING,WARNING,GAP_THROUGH_WARNING_LOW,4050.5896,CASE2_WARNING_EXIT,寄り 4050.6 が warning_low 4079.2 を下回っており、warning_low での約定は仮定できない
1802,大林組,2026-02-19,7,2026-03-04,WARNING,WARNING,WARNING_CANDLE_NOT_REPLACED,3891.5299,ALL,WARNING 中の追加陰線 安値 3891.5。警戒足は 2026-03-03 のまま置き換えない（§9）
1802,大林組,2026-02-19,8,2026-03-05,WARNING,WARNING,WARNING_CANDLE_NOT_REPLACED,3998.2285,ALL,WARNING 中の追加陰線 安値 3998.2。警戒足は 2026-03-03 のまま置き換えない（§9）
1802,大林組,2026-02-19,9,2026-03-06,WARNING,WARNING,WARNING_CANDLE_NOT_REPLACED,3884.6144,ALL,WARNING 中の追加陰線 安値 3884.6。警戒足は 2026-03-03 のまま置き換えない（§9）
1802,大林組,2026-02-19,10,2026-03-09,WARNING,CLOSED,INITIAL_STOP_EXIT_AFTER_BREAKOUT,3738.3980,ALL,WARNING 中に active_stop 3882.9 へ到達（安値 3678.1）
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,0,2026-02-20,INITIAL_HOLD,INITIAL_HOLD,ENTRY,3217.1646,ALL,翌営業日始値 3217.2 で仮想ENTRY（ギャップ -0.49%） / 初期STOP 3142.6 / 元レンジ上限 3304.8
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,2,2026-02-25,INITIAL_HOLD,TREND_HOLD,RANGE_UPPER_CLOSE_BREAK,3395.3430,ALL,終値 3395.3 > 元レンジ上限 3304.8 → TREND_HOLD へ。警戒足の判定は翌営業日から開始（解釈(a)）
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,3,2026-02-26,TREND_HOLD,WARNING,WARNING_CANDLE,3294.8065,ALL,上限突破後の最初の陰線 O3465.0 C3372.4 / warning_low 3294.8 / reference_high 3467.0（2026-02-26の保有中最高値） / 含み益 +4.83%
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,4,2026-02-27,WARNING,WARNING,WARNING_LOW_BREAK,3294.8065,CASE2_WARNING_EXIT,warning_low 3294.8 を下抜け（安値 3263.0）→ 利確候補。CASE2 はここで仮想EXIT、CASE3 は保有を続ける
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,4,2026-02-27,WARNING,WARNING,GAP_THROUGH_WARNING_LOW,3284.8525,CASE2_WARNING_EXIT,寄り 3284.9 が warning_low 3294.8 を下回っており、warning_low での約定は仮定できない
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,6,2026-03-03,WARNING,WARNING,WARNING_CANDLE_NOT_REPLACED,3190.2887,ALL,WARNING 中の追加陰線 安値 3190.3。警戒足は 2026-02-26 のまま置き換えない（§9）
200A,NEXT FUNDS 日経半導体株指数連動型上場投信,2026-02-19,7,2026-03-04,WARNING,CLOSED,INITIAL_STOP_EXIT_AFTER_BREAKOUT,3070.8395,ALL,WARNING 中に active_stop 3142.6 へ到達（安値 2980.3）
6594,ニデック,2026-02-19,0,2026-02-20,INITIAL_HOLD,INITIAL_HOLD,ENTRY,2335.0000,ALL,翌営業日始値 2335.0 で仮想ENTRY（ギャップ -0.60%） / 初期STOP 2279.5 / 元レンジ上限 2387.0
6594,ニデック,2026-02-19,1,2026-02-24,INITIAL_HOLD,INITIAL_HOLD,RANGE_UPPER_HIGH_ONLY,2405.0000,ALL,高値 2405.0 は上限超だが終値 2350.0 は上限以下 → 状態遷移させない（§3）
6594,ニデック,2026-02-19,2,2026-02-25,INITIAL_HOLD,TREND_HOLD,RANGE_UPPER_CLOSE_BREAK,2391.0000,ALL,終値 2391.0 > 元レンジ上限 2387.0 → TREND_HOLD へ。警戒足の判定は翌営業日から開始（解釈(a)）
6594,ニデック,2026-02-19,5,2026-03-02,TREND_HOLD,WARNING,WARNING_CANDLE,2292.0000,ALL,上限突破後の最初の陰線 O2362.0 C2336.0 / warning_low 2292.0 / reference_high 2490.0（2026-02-27の保有中最高値） / 含み益 +0.04%
6594,ニデック,2026-02-19,6,2026-03-03,WARNING,WARNING,WARNING_LOW_BREAK,2292.0000,CASE2_WARNING_EXIT,warning_low 2292.0 を下抜け（安値 2254.0）→ 利確候補。CASE2 はここで仮想EXIT、CASE3 は保有を続ける
6594,ニデック,2026-02-19,6,2026-03-03,WARNING,CLOSED,INITIAL_STOP_EXIT_AFTER_BREAKOUT,2279.5450,ALL,WARNING 中に active_stop 2279.5 へ到達（安値 2254.0）
8058,三菱商事,2026-02-19,0,2026-02-20,INITIAL_HOLD,INITIAL_HOLD,ENTRY,4929.4930,ALL,翌営業日始値 4929.5 で仮想ENTRY（ギャップ +0.00%） / 初期STOP 4794.5 / 元レンジ上限 5063.2
8058,三菱商事,2026-02-19,1,2026-02-24,INITIAL_HOLD,TREND_HOLD,RANGE_UPPER_CLOSE_BREAK,5083.0132,ALL,終値 5083.0 > 元レンジ上限 5063.2 → TREND_HOLD へ。警戒足の判定は翌営業日から開始（解釈(a)）
8058,三菱商事,2026-02-19,3,2026-02-26,TREND_HOLD,WARNING,WARNING_CANDLE,5106.7841,ALL,上限突破後の最初の陰線 O5150.4 C5111.7 / warning_low 5106.8 / reference_high 5201.9（2026-02-26の保有中最高値） / 含み益 +3.70%
8058,三菱商事,2026-02-19,4,2026-02-27,WARNING,WARNING,WARNING_LOW_BREAK,5106.7841,CASE2_WARNING_EXIT,warning_low 5106.8 を下抜け（安値 5056.3）→ 利確候補。CASE2 はここで仮想EXIT、CASE3 は保有を続ける
8058,三菱商事,2026-02-19,4,2026-02-27,WARNING,WARNING,GAP_THROUGH_WARNING_LOW,5089.9467,CASE2_WARNING_EXIT,寄り 5089.9 が warning_low 5106.8 を下回っており、warning_low での約定は仮定できない
8058,三菱商事,2026-02-19,4,2026-02-27,WARNING,TREND_HOLD,REHIGH_CONFIRMED,5282.0949,ALL,高値 5282.1 > reference_high 5201.9 → 調整後の再高値更新。警戒足 2026-02-26 から本日までの最安値 5056.3（2026-02-27）を押し安値として確定
