# 注記: *_from_close はシグナル日終値が基準。日足確定後に判定する運用ではその終値で買うことは実際には不可能であり、比較用の基準にすぎない。 *_from_next_open は翌営業日始値が基準の参考値であって売買ルールではない。 本ファイルはイベントスタディの観察結果であり、収益バックテストではない。
date,code,name,sector,asset_type,themes,watch_priority,is_leader,entry_reason,range_start_date,range_end_date,range_days,range_lower,range_upper,range_width_pct,signal_close,position_in_range,last_lower_touch_date,days_from_touch_to_signal,lower_touch_count,ma25,ma_direction,ma_slope_pct,ma_deviation_pct,higher_highs,higher_lows,volume_state,volume_range_vs_pre_ratio,prev_high,breakout_pct_vs_prev_high,initial_stop,stop_distance_pct_from_close,shape,outcome,fwd5_max_gain_pct_from_close,fwd5_max_loss_pct_from_close,fwd10_max_gain_pct_from_close,fwd10_max_loss_pct_from_close,fwd5_reached_range_upper,fwd10_reached_range_upper,fwd5_broke_range_upper,fwd10_broke_range_upper,fwd5_hit_stop,fwd10_hit_stop,days_to_stop,fwd5_days_to_max_gain,fwd10_days_to_max_gain,forward_complete,forward_bars_available,next_open,gap_pct,fwd5_max_gain_pct_from_next_open,fwd5_max_loss_pct_from_next_open,fwd10_max_gain_pct_from_next_open,fwd10_max_loss_pct_from_next_open,stop_distance_pct_from_next_open,fwd5_hit_stop_from_next_open,fwd10_hit_stop_from_next_open,signal_index
2026-02-18,8316,三井住友FG,銀行業,stock,銀行・金利上昇,A,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +2.8%）＋反発確認（終値 5,789円 > 前日高値 5,785円）。必ず日足を人間が確認する",2026-02-16,2026-02-18,3,5629.9219,5928.3593,5.3009,5789.4824,0.5347,2026-02-17,1,1,5570.0377,up,2.4664,3.9397,true,false,contracting,0.7518,5784.5576,0.0851,5601.7723,3.2423,A_ideal,stopped_out,4.2702,-3.9980,4.2702,-13.2698,true,true,true,true,true,true,4,1,1,true,116,5887.9766,1.7013,2.5259,-5.6039,2.5259,-14.7206,4.8608,true,true,126
2026-02-19,1802,大林組,建設業,stock,建設・国土強靭化,B,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +3.6%）＋反発確認（終値 4,045円 > 前日高値 3,996円）。必ず日足を人間が確認する",2026-02-16,2026-02-19,4,3902.3973,4139.5051,6.0760,4044.6621,0.6000,2026-02-17,1,1,3755.6278,up,3.3843,7.6960,true,true,contracting,0.5968,3996.2526,1.2114,3882.8853,3.9998,A_ideal,reached_upper,8.4270,-0.0244,8.4270,-3.9570,true,true,true,true,false,false,,5,5,true,115,4084.1801,0.9770,7.3778,-0.9918,7.3778,-4.8863,4.9286,false,false,127
2026-02-19,1812,鹿島建設,建設業,stock,建設・国土強靭化,B,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +4.7%）＋反発確認（終値 6,944円 > 前日高値 6,943円）。必ず日足を人間が確認する",2026-02-16,2026-02-19,4,6633.3008,7080.5781,6.7429,6943.6367,0.6938,2026-02-17,2,1,6650.6009,up,2.2335,4.4062,true,true,contracting,0.5136,6942.6516,0.0142,6600.1343,4.9470,B_late,stopped_out,1.5323,-3.4336,1.5323,-10.9535,false,false,false,false,false,true,8,5,5,true,115,6943.6367,0.0000,1.5323,-3.4336,1.5323,-10.9535,4.9470,false,true,127
2026-02-19,200A,NEXT FUNDS 日経半導体株指数連動型上場投信,ETF,etf,半導体・生成AI,A,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +2.4%）＋反発確認（終値 3,233円 > 前日高値 3,226円）。必ず日足を人間が確認する",2026-02-13,2026-02-19,5,3158.4355,3304.7606,4.6328,3233.0911,0.5102,2026-02-17,2,2,3016.7289,up,4.0427,7.1721,true,true,contracting,0.7895,3226.1232,0.2160,3142.6433,2.7976,A_ideal,stopped_out,7.2352,-2.2475,7.2352,-7.8202,true,true,true,true,false,true,8,4,4,true,115,3217.1646,-0.4926,7.7661,-1.7636,7.7661,-7.3639,2.3164,false,true,126
2026-02-19,6594,ニデック,電気機器,stock,電子部品・AI端末,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +2.5%）＋反発確認（終値 2,349円 > 前日高値 2,343円）。必ず日足を人間が確認する",2026-02-17,2026-02-19,3,2291.0000,2387.0000,4.1903,2349.0000,0.6042,2026-02-18,1,1,2309.0400,up,2.3765,1.7306,true,true,contracting,0.6870,2343.0000,0.2561,2279.5450,2.9568,A_ideal,stopped_out,6.0026,-2.4266,14.8574,-7.7905,true,true,true,true,false,true,7,5,8,true,115,2335.0000,-0.5960,6.6381,-1.8415,15.5460,-7.2377,2.3749,false,true,127
2026-02-19,8058,三菱商事,卸売業,stock,商社・資源,A,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +2.3%）＋反発確認（終値 4,929円 > 前日高値 4,894円）。必ず日足を人間が確認する",2026-02-16,2026-02-19,4,4818.5619,5063.2041,5.0771,4929.4927,0.4534,2026-02-17,1,1,4384.7032,up,5.1574,12.4248,true,true,contracting,0.6870,4893.8367,0.7286,4794.4691,2.7391,A_ideal,reached_upper,7.1529,-0.6430,12.0956,-1.0649,true,true,true,true,false,false,,5,7,true,115,4929.4930,0.0000,7.1529,-0.6430,12.0956,-1.0649,2.7391,false,false,127
2026-02-25,7203,トヨタ,輸送用機器,stock,自動車・円安,B,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +3.2%）＋反発確認（終値 3,665円 > 前日高値 3,628円）。必ず日足を人間が確認する",2026-02-19,2026-02-25,4,3552.1096,3730.4541,5.0208,3665.4224,0.6354,2026-02-20,1,1,3574.4569,up,0.2709,2.5449,false,false,neutral,1.0801,3627.9799,1.0320,3534.3490,3.5759,A_ideal,stopped_out,6.3710,-5.9946,6.3710,-11.4247,true,true,true,true,true,true,5,3,3,true,112,3724.5421,1.6129,4.6825,-7.4868,4.6825,-12.8307,5.1065,true,true,130
2026-02-26,7012,川崎重工,輸送用機器,stock,重工・防衛,A,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +5.0%）＋反発確認（終値 3,494円 > 前日高値 3,473円）。必ず日足を人間が確認する",2026-02-24,2026-02-26,3,3326.8479,3597.1294,8.1243,3493.7864,0.6176,2026-02-25,1,1,3057.6395,up,4.6014,14.2642,false,true,neutral,1.1320,3472.9191,0.6009,3310.2136,5.2543,A_ideal,stopped_out,7.1104,-12.4858,7.1104,-14.7895,true,true,true,true,true,true,4,3,3,true,111,3505.7107,0.3413,6.7460,-12.7834,6.7460,-15.0794,5.5765,true,true,131
2026-03-05,9104,商船三井,海運業,stock,造船・海運,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +4.6%）＋反発確認（終値 5,935円 > 前日高値 5,920円）。必ず日足を人間が確認する",2026-03-03,2026-03-05,3,5676.4876,6060.1007,6.7579,5935.1807,0.6744,2026-03-04,1,1,5227.9558,up,4.8522,13.5278,true,true,contracting,0.7802,5920.4261,0.2492,5648.1052,4.8368,B_late,reached_upper,4.0769,-3.9940,21.3954,-3.9940,true,true,true,true,false,false,,4,10,true,106,5853.5399,-1.3755,5.5285,-2.6550,23.0886,-2.6550,3.5096,false,false,136
2026-03-06,3778,さくらインターネット,情報・通信業,stock,AIインフラ・通信,C,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +5.6%）＋反発確認（終値 2,951円 > 前日高値 2,939円）。必ず日足を人間が確認する",2026-03-03,2026-03-06,4,2794.6605,3034.2029,8.5714,2951.3611,0.6542,2026-03-04,2,1,2867.3617,up,1.3633,2.9295,false,false,neutral,0.8494,2939.3841,0.4075,2780.6872,5.7829,B_late,stopped_out,5.8505,-5.9858,5.8505,-8.3869,true,true,true,true,true,true,5,3,3,true,105,2851.5520,-3.3818,9.5555,-2.6951,9.5555,-5.1803,2.4851,true,true,137
