# 注記: *_from_close はシグナル日終値が基準。日足確定後に判定する運用ではその終値で買うことは実際には不可能であり、比較用の基準にすぎない。 *_from_next_open は翌営業日始値が基準の参考値であって売買ルールではない。 本ファイルはイベントスタディの観察結果であり、収益バックテストではない。
date,code,name,sector,asset_type,themes,watch_priority,is_leader,entry_reason,range_start_date,range_end_date,range_days,range_lower,range_upper,range_width_pct,signal_close,position_in_range,last_lower_touch_date,days_from_touch_to_signal,lower_touch_count,ma25,ma_direction,ma_slope_pct,ma_deviation_pct,higher_highs,higher_lows,volume_state,volume_range_vs_pre_ratio,prev_high,breakout_pct_vs_prev_high,initial_stop,stop_distance_pct_from_close,shape,outcome,fwd5_max_gain_pct_from_close,fwd5_max_loss_pct_from_close,fwd10_max_gain_pct_from_close,fwd10_max_loss_pct_from_close,fwd5_reached_range_upper,fwd10_reached_range_upper,fwd5_broke_range_upper,fwd10_broke_range_upper,fwd5_hit_stop,fwd10_hit_stop,days_to_stop,fwd5_days_to_max_gain,fwd10_days_to_max_gain,forward_complete,forward_bars_available,next_open,gap_pct,fwd5_max_gain_pct_from_next_open,fwd5_max_loss_pct_from_next_open,fwd10_max_gain_pct_from_next_open,fwd10_max_loss_pct_from_next_open,stop_distance_pct_from_next_open,fwd5_hit_stop_from_next_open,fwd10_hit_stop_from_next_open,signal_index
2026-02-06,6315,TOWA,機械,stock,半導体・生成AI,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +4.8%）＋反発確認（終値 2,967円 > 前日高値 2,959円）。必ず日足を人間が確認する",2026-01-30,2026-02-06,6,2831.1684,3034.4574,7.1804,2967.0249,0.6683,2026-02-06,0,3,2804.6319,up,6.1939,5.7902,true,false,neutral,0.8840,2959.0916,0.2681,2817.0126,5.0560,B_late,stopped_out,4.4452,-10.4278,4.4452,-10.4278,true,true,false,false,true,true,1,1,1,true,123,2974.9581,0.2674,4.1667,-10.6667,4.1667,-10.6667,5.3092,true,true,119
2026-02-09,5703,日本軽金属HD,非鉄金属,stock,非鉄・資源素材,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +8.4%）＋反発確認（終値 2,993円 > 前日高値 2,871円）。必ず日足を人間が確認する",2026-02-05,2026-02-09,3,2761.2687,3003.2962,8.7651,2993.4976,0.9595,2026-02-06,1,1,2712.8632,up,2.8195,10.3446,true,true,neutral,0.9576,2871.0139,4.2662,2747.4623,8.2190,D_upper_zone,reached_upper,2.9460,-6.2848,2.9460,-6.2848,true,true,true,true,false,false,,2,2,true,122,2969.0008,-0.8183,3.7954,-5.5116,3.7954,-5.5116,7.4617,false,false,120
2026-02-09,6361,荏原,機械,stock,機械・設備投資,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +6.8%）＋反発確認（終値 5,169円 > 前日高値 4,946円）。必ず日足を人間が確認する",2026-02-05,2026-02-09,3,4838.3100,5283.9435,9.2105,5168.5562,0.7411,2026-02-06,1,1,4710.7074,up,6.1749,9.7193,true,false,contracting,0.7360,4945.7396,4.5052,4814.1185,6.8576,B_late,reached_upper,13.9146,-0.5966,13.9146,-0.5966,true,true,true,true,false,false,,4,4,true,122,5174.5249,0.1155,13.7832,-0.7113,13.7832,-0.7113,6.9650,false,false,120
2026-02-09,6525,KOKUSAI ELECTRIC,電気機器,stock,半導体・生成AI,A,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +8.1%）＋反発確認（終値 6,387円 > 前日高値 6,196円）。必ず日足を人間が確認する",2026-02-05,2026-02-09,3,5910.0267,6455.0925,9.2227,6387.3330,0.8757,2026-02-06,1,1,6269.7102,up,2.6300,1.8760,true,false,contracting,0.7699,6196.0118,3.0878,5880.4766,7.9353,C_near_upper,stopped_out,6.0686,-9.0016,6.0686,-9.1264,true,true,false,false,true,true,5,3,3,true,122,6477.0145,1.4041,4.6000,-10.2615,4.6000,-10.3846,9.2101,true,true,120
2026-02-09,6594,ニデック,電気機器,stock,電子部品・AI端末,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +5.1%）＋反発確認（終値 2,360円 > 前日高値 2,330円）。必ず日足を人間が確認する",2026-02-05,2026-02-09,3,2246.0000,2389.0000,6.3669,2360.0000,0.7972,2026-02-06,1,1,2232.0000,up,2.3365,5.7348,true,true,contracting,0.6221,2330.0000,1.2876,2234.7700,5.3064,B_late,reached_upper,3.7288,-1.6102,3.7288,-2.9237,true,true,true,true,false,false,,2,2,true,122,2377.0000,0.7203,2.9870,-2.3138,2.9870,-3.6180,5.9836,false,false,120
2026-02-09,8031,三井物産,卸売業,stock,商社・資源,A,true,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +6.9%）＋反発確認（終値 5,315円 > 前日高値 5,147円）。必ず日足を人間が確認する",2026-02-03,2026-02-09,5,4972.9540,5365.3212,7.8900,5314.7891,0.8712,2026-02-06,1,2,4993.0878,up,2.4660,6.4429,true,false,neutral,1.1439,5147.3394,3.2531,4948.0893,6.8996,C_near_upper,reached_upper,8.5384,-0.2983,8.5384,-0.2983,true,true,true,true,false,false,,2,2,true,122,5314.7892,0.0000,8.5384,-0.2983,8.5384,-0.2983,6.8996,false,false,120
2026-02-09,9513,J-POWER,電気・ガス業,stock,電力・エネルギーインフラ,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +4.9%）＋反発確認（終値 3,396円 > 前日高値 3,382円）。必ず日足を人間が確認する",2026-02-05,2026-02-09,3,3238.0530,3424.8069,5.7675,3396.1516,0.8466,2026-02-05,2,1,3266.7479,up,1.1479,3.9612,false,false,neutral,0.8322,3382.3179,0.4090,3221.8627,5.1320,C_near_upper,reached_upper,6.4009,0.3782,6.9537,0.3782,true,true,true,true,false,false,,4,6,true,122,3408.9969,0.3782,6.0000,0.0000,6.5507,0.0000,5.4894,false,false,120
2026-02-10,4063,信越化学,化学,stock,半導体・生成AI,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +7.6%）＋反発確認（終値 5,402円 > 前日高値 5,265円）。必ず日足を人間が確認する",2026-02-02,2026-02-10,7,5019.2966,5435.6709,8.2955,5401.9644,0.9190,2026-02-06,2,2,5285.4589,up,1.2627,2.2043,false,true,neutral,0.9201,5265.1559,2.5984,4994.2001,7.5484,D_upper_zone,reached_upper,5.3588,-1.3947,10.8093,-1.3947,true,true,true,true,false,false,,1,10,true,121,5353.3874,-0.8992,6.3148,-0.5000,11.8148,-0.5000,6.7095,false,false,121
2026-02-10,7182,ゆうちょ銀行,銀行業,stock,銀行・金利上昇,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +8.1%）＋反発確認（終値 3,002円 > 前日高値 2,958円）。必ず日足を人間が確認する",2026-02-05,2026-02-10,4,2777.8590,3025.7086,8.9223,3002.3816,0.9059,2026-02-06,2,1,2529.4651,up,6.2758,18.6963,true,true,neutral,1.0236,2957.6715,1.5117,2763.9697,7.9408,C_near_upper,reached_upper,2.5898,-5.1473,2.5898,-5.1473,true,true,true,true,false,false,,1,1,true,121,3022.7927,0.6798,1.8971,-5.7878,1.8971,-5.7878,8.5624,false,false,121
2026-02-10,9513,J-POWER,電気・ガス業,stock,電力・エネルギーインフラ,B,false,"ENTRY_CANDIDATE — 上昇トレンド＋レンジ下限付近（下限まで +3.6%）＋反発確認（終値 3,436円 > 前日高値 3,425円）。必ず日足を人間が確認する",2026-02-06,2026-02-10,3,3316.1142,3436.6641,3.6353,3435.6760,0.9918,2026-02-06,2,1,3275.5224,up,1.2771,4.8894,false,false,neutral,0.8271,3424.8069,0.3174,3299.5336,3.9626,D_upper_zone,reached_upper,5.7233,0.1150,5.8671,0.1150,true,true,true,true,false,false,,5,10,true,121,3439.6287,0.1150,5.6018,0.0000,5.7455,0.0000,4.0730,false,false,121
