date,code,name,sector,themes,status,close,ma25,range_days,range_lower,range_upper,range_position,distance_to_lower_pct,lower_touch_count,prev_high,rebound_confirmed,volume_state,initial_stop,reason
2026-09-07,8002,丸紅,卸売業,商社・資源,OUT,5146.00,4975.32,3,5001.00,5261.00,0.558,,1,5226.00,false,contracting,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 4,975円 < 5日前 5,003円 (-0.6%)）"
2026-09-07,7267,ホンダ,輸送用機器,自動車・円安,OUT,1695.00,1681.68,,,,,,,1735.00,false,unknown,,"株価 1,695円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,6208,石川製作所,機械,重工・防衛,OUT,1689.00,1660.08,,,,,,,1611.00,true,unknown,,"株価 1,689円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,5016,JX金属,非鉄金属,非鉄・資源素材,OUT,3685.00,3813.76,,,,,,,3641.00,true,unknown,,"上昇トレンド条件を満たさない（株価 > MA25: 3,685円 <= MA25 3,814円 (-3.4%)）"
2026-09-07,6701,NEC,電気機器,AIインフラ・通信|宇宙・衛星,OUT,4610.00,4780.00,,,,,,,4884.00,false,unknown,,"上昇トレンド条件を満たさない（株価 > MA25: 4,610円 <= MA25 4,780円 (-3.6%)）"
2026-09-07,9348,ispace,サービス業,宇宙・衛星,OUT,417.00,423.00,3,413.00,422.00,0.444,,1,419.00,false,contracting,,"株価 417円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,1812,鹿島建設,建設業,建設・国土強靭化,OUT,5016.00,4940.56,5,4846.00,5039.00,0.881,,2,4949.00,true,neutral,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 4,941円 < 5日前 5,042円 (-2.0%)）"
2026-09-07,4274,細谷火工,化学,重工・防衛,OUT,1090.00,1082.72,,,,,,,1077.00,true,unknown,,"株価 1,090円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,7270,SUBARU,輸送用機器,自動車・円安,OUT,2640.50,2606.88,4,2635.00,2711.00,0.072,,2,2684.50,false,neutral,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 2,607円 < 5日前 2,623円 (-0.6%)）"
2026-09-07,1803,清水建設,建設業,建設・国土強靭化,OUT,2417.00,2386.26,3,2352.00,2437.50,0.760,,1,2420.00,false,neutral,,"上昇トレンド条件を満たさない（MA25の向き: 下向き — MA25 2,386円 < 5日前 2,389円 (-0.1%)）"
2026-09-07,1860,戸田建設,建設業,建設・国土強靭化,OUT,1506.50,1503.84,,,,,,,1530.00,false,unknown,,"株価 1,506円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-07,2644,GX 半導体関連-日本株式 ETF,ETF,半導体・生成AI,OUT,4003.00,4012.16,,,,,,,3843.00,true,unknown,,"上昇トレンド条件を満たさない（株価 > MA25: 4,003円 <= MA25 4,012円 (-0.2%)）"
2026-09-07,6976,太陽誘電,電気機器,電子部品・AI端末,OUT,9824.00,9748.84,,,,,,,9639.00,true,unknown,,"株価 9,824円 が対象レンジ 2,000円〜7,000円 の外"
