# 保有中に出現した陰線（close < open）の一覧。§30 の警戒足ルールは機械定義が未確定のため、ここでは売却判定をしていない。 change_pct / body_to_atr / volume_ratio / close_pos_in_day_range はMANUAL_EXIT_REVIEW（人間がチャート確認）のための参考指標であり閾値は設けていない。
code,name,signal_date,date,day_offset,is_first,open,high,low,close,volume,broke_low_date,broke_low_day_offset,days_from_candle_to_break,new_high_vs_candle_high_before_break,new_high_vs_position_peak_before_break,change_pct,body_pct,body_to_atr,volume_ratio,close_pos_in_day_range,manual_exit_review
6594,ニデック,2026-02-19,2026-02-25,2,false,2400.0000,2437.0000,2359.0000,2391.0000,8022600,2026-03-02,5,3,true,true,1.7447,0.3750,0.1283,1.3795,0.4103,true
6594,ニデック,2026-02-19,2026-03-02,5,false,2362.0000,2377.0000,2292.0000,2336.0000,6635700,2026-03-03,6,1,false,false,-5.1178,1.1008,0.3204,1.1203,0.5176,true
6594,ニデック,2026-02-19,2026-03-03,6,false,2362.0000,2362.0000,2254.0000,2266.0000,7011300,,,,false,false,-2.9966,4.0644,1.1448,1.1923,0.1111,true
8058,三菱商事,2026-02-19,2026-02-26,3,true,5150.3641,5201.8677,5106.7841,5111.7363,10596900,2026-02-27,4,1,false,false,0.0000,0.7500,0.2387,1.0010,0.0521,true
8058,三菱商事,2026-02-19,2026-03-03,6,false,5363.3121,5525.7466,5249.4098,5264.2666,18039000,2026-03-04,7,1,false,false,-0.1690,1.8467,0.6138,1.5724,0.0538,true
8058,三菱商事,2026-02-19,2026-03-04,7,false,5024.5767,5149.3740,4876.9990,4905.7222,18267600,2026-03-09,10,3,true,false,-6.8109,2.3655,0.6832,1.5430,0.1055,true
7203,トヨタ,2026-02-25,2026-02-26,0,true,3724.5421,3764.9406,3699.9089,3720.6008,24605000,2026-02-27,1,1,false,false,1.5054,0.1058,0.0368,1.0162,0.3182,true
7203,トヨタ,2026-02-25,2026-03-03,3,false,3744.2487,3745.2341,3619.1120,3647.6865,50592000,2026-03-04,4,1,false,false,-6.1359,2.5789,0.8270,1.8777,0.2266,true
7203,トヨタ,2026-02-25,2026-03-04,4,false,3606.3027,3615.1707,3445.6941,3468.3567,34266800,,,,false,false,-4.9163,3.8251,1.0938,1.2608,0.1337,true
7012,川崎重工,2026-02-26,2026-03-02,1,true,3676.6240,3729.2892,3582.2242,3651.7820,24960500,2026-03-03,2,1,false,false,0.6574,0.6757,0.1308,1.0014,0.4730,true
